10001,Oaon-US-South,,2023-12-10T14:16:06.9086921Z,20001,2008-01-01,ussouth@oaon.com,1-9029-123-432,48319873,432GP
10002,Oaon-US-Noth,,2023-12-10T14:16:06.9086921Z,20002,2008-02-15,usnoth@oaon.com,1-6791-483-293,48319874,293YO
10003,Oaon-US-East,,2023-12-10T14:16:06.9086921Z,20003,2008-03-25,useast@oaon.com,1-7392-282-222,48319875,222PB
10004,Oaon-US-West,,2023-12-10T14:16:06.9086921Z,20004,2008-05-13,uswest@oaon.com,1-8382-293-222,48319876,222BO
10005,Oaon-US-Central,,2023-12-10T14:16:06.9086921Z,20005,2008-06-14,uscentral@oaon.com,1-8273-746-292,48319877,292JG
10006,Oaon-UK-South,,2023-12-10T14:16:06.9086921Z,20006,2008-07-27,uksouth@oaon.com,44-2838-393-212,48319878,212RK
10007,Oaon-UK-Noth,,2023-12-10T14:16:06.9086921Z,20007,2008-09-11,uknoth@oaon.com,44-2993-129-292,48319879,292LM
10008,Oaon-UK-East,,2023-12-10T14:16:06.9086921Z,20008,2008-10-16,ukeast@oaon.com,44-9282-339-222,48319880,222DM
10009,Oaon-UK-West,,2023-12-10T14:16:06.9086921Z,20009,2008-11-27,ukwest@oaon.com,44-9392-123-393,48319881,393TQ
10010,Oaon-UK-Central,,2023-12-10T14:16:06.9086921Z,20010,2009-01-06,ukcentral@oaon.com,44-2929-211-221,48319882,221FK
10011,Oaon-ME-UAE,,2023-12-10T14:16:06.9086921Z,20011,2009-02-09,meuae@oaon.com,971-2727-127-292,48319883,292XS
10012,Oaon-UK-SaudiArabia,,2023-12-10T14:16:06.9086921Z,20012,2009-03-29,uksaudiarabia@oaon.com,966-2828-928-112,48319884,112LX
10013,Oaon-UK-Qatar,,2023-12-10T14:16:06.9086921Z,20013,2009-05-03,ukqatar@oaon.com,974-2829-212-212,48319885,212HK
10014,Oaon-UK-Kuwait,,2023-12-10T14:16:06.9086921Z,20014,2009-06-12,ukkuwait@oaon.com,965-9221-882-912,48319886,912DJ
10015,Oaon-UK-Egypt,,2023-12-10T14:16:06.9086921Z,20015,2009-07-20,ukegypt@oaon.com,20-192-1292-121,48319887,121SE
10016,Oaon-UK-Turkiye,,2023-12-10T14:16:06.9086921Z,20016,2009-08-21,ukturkiye@oaon.com,90-9283-1212-121,48319888,121NF
10017,Oaon-India-South,,2023-12-10T14:16:06.9086921Z,20017,2009-09-26,indiasouth@oaon.com,91-289-2129-123,48319889,123OQ
10018,Oaon-India-East,,2023-12-10T14:16:06.9086921Z,20018,2009-10-30,indiaeast@oaon.com,91-273-1828-122,48319890,122LQ
10019,Oaon-India-West,,2023-12-10T14:16:06.9086921Z,20019,2009-12-11,indiawest@oaon.com,91-384-2828-833,48319891,833XK
10020,Oaon-India-North,,2023-12-10T14:16:06.9086921Z,20020,2010-01-14,indianorth@oaon.com,91-727-9393-919,48319892,919AY
10021,Oaon-India-Central,,2023-12-10T14:16:06.9086921Z,20021,2010-03-05,indiacentral@oaon.com,91-828-2929-122,48319893,122QB
10022,Oaon-Pakistan,,2023-12-10T14:16:06.9086921Z,20022,2010-04-02,pakistan@oaon.com,61-929-12121,48319894,121ZZ
10022,Oaon-Australia,,2023-12-10T14:16:06.9086921Z,20022,2010-04-15,australia@oaon.com,92-8182-828-929,48319895,929QA
