93827211982,,2024-01-02T14:16:06.9086921Z,1,76891213323,83,3502.97731,0.04,USD,2022-02-09T14:16:07Z,2022-02-10T04:32:14Z,2022-02-16T18:48:21Z,10029727212,11000,CreditCard,52936136
93827211982,,2024-01-02T14:16:06.9086921Z,2,76891213151,93,6171.448513,0.05,USD,2023-01-07T14:16:07Z,2023-01-09T04:32:14Z,2023-01-16T18:48:21Z,10029727212,11000,CreditCard,52936137
93827211982,,2024-01-02T14:16:06.9086921Z,3,76891213394,91,9719.637059,0.04,USD,2024-08-20T14:16:07Z,2024-08-21T04:32:14Z,2024-08-23T18:48:21Z,10029727212,11000,CreditCard,52936138
93827211982,,2024-01-02T14:16:06.9086921Z,4,76891213290,1,7339.922036,0.05,USD,2023-12-22T14:16:07Z,2023-12-23T04:32:14Z,2024-01-02T18:48:21Z,10029727212,11000,CreditCard,52936139
93827211983,,2024-01-02T14:16:06.9086921Z,1,76891213486,27,792.9077503,0.05,USD,2022-06-03T14:16:07Z,2022-06-07T04:32:14Z,2022-06-15T18:48:21Z,10029727213,11146,CashOnDelivery,52936140
93827211983,,2024-01-02T14:16:06.9086921Z,2,76891213442,43,474.7118796,0.04,USD,2023-02-26T14:16:07Z,2023-03-01T04:32:14Z,2023-03-01T18:48:21Z,10029727213,11146,CashOnDelivery,52936141
93827211983,,2024-01-02T14:16:06.9086921Z,3,76891213468,94,1515.665321,0.06,USD,2023-09-24T14:16:07Z,2023-09-26T04:32:14Z,2023-10-06T18:48:21Z,10029727213,11146,CashOnDelivery,52936142
93827211984,,2024-01-02T14:16:06.9086921Z,1,76891213526,37,977.0154067,0.04,USD,2022-12-21T14:16:07Z,2022-12-25T04:32:14Z,2023-01-01T18:48:21Z,10029727214,11545,DebitCard,52936143
93827211984,,2024-01-02T14:16:06.9086921Z,2,76891213249,13,4720.187113,0.04,USD,2022-10-26T14:16:07Z,2022-10-29T04:32:14Z,2022-10-29T18:48:21Z,10029727214,11545,DebitCard,52936144
93827211985,,2024-01-02T14:16:06.9086921Z,1,76891213362,55,7281.376002,0.06,USD,2024-01-11T14:16:07Z,2024-01-13T04:32:14Z,2024-01-22T18:48:21Z,10029727215,11139,DebitCard,52936145
